SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-4.657,BRD4_grid,-4.657,-1.286,-0.4503,-0.0,-1.583,-22.34,-6.131,0.699,0.0,-35.19,-28.47,3.935
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-4.949,BRD4_grid,-4.949,-1.193,-0.6035,-0.0,-1.631,-18.06,-8.78,0.699,0.0,-33.78,-26.84,4.601
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-3.917,BRD4_grid,-3.917,-1.019,-0.32,-0.0,-1.441,-20.75,-5.257,0.699,-0.009675,-31.84,-26.01,2.971
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-2.811,BRD4_grid,-2.811,-0.7622,0.0,-0.0,-1.202,-26.07,-1.326,0.699,-0.04266,-30.25,-27.4,4.79
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-3.122,BRD4_grid,-3.122,-0.8487,-0.08465,-0.0,-1.174,-24.12,-2.606,0.699,-0.1161,-29.74,-26.72,5.619
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-3.74,BRD4_grid,-3.74,-0.9858,-0.32,-0.0,-1.393,-18.52,-5.424,0.699,0.0,-28.96,-23.95,3.942
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-2.554,BRD4_grid,-2.554,-0.2512,-0.2215,-0.0,-1.238,-22.19,-2.592,0.699,-0.04381,-28.56,-24.78,1.978
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-3.298,BRD4_grid,-3.298,-1.107,0.0,-0.0,-1.671,-23.17,-0.4002,0.699,0.0,-28.08,-23.57,3.275
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-3.225,BRD4_grid,-3.225,-0.8736,-0.3088,-0.0,-1.223,-20.49,-3.271,0.699,-0.003661,-28.0,-23.77,3.577
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,Indomethacin,1,Done,,5.908,-2.851,BRD4_grid,-2.851,-0.8103,0.0,-0.0,-1.174,-24.91,-1.468,0.699,-0.09926,-26.59,-26.37,10.21
